#
# Stack-Java In Degree. G(188406, 415174). 12245 (0.0650) nodes with in-deg > avg deg (4.4), 6917 (0.0367) with >2*avg.deg (Tue Jan 21 18:29:31 2020)
#
# In-degree	Count
0	108618
1	48664
2	10872
3	5044
4	2963
5	1947
6	1452
7	1069
8	860
9	673
10	563
11	465
12	449
13	336
14	295
15	254
16	228
17	212
18	179
19	193
20	177
21	152
22	135
23	121
24	117
25	85
26	87
27	85
28	71
29	85
30	87
31	70
32	65
33	62
34	58
35	60
36	53
37	48
38	41
39	49
40	45
41	37
42	28
43	33
44	29
45	30
46	26
47	35
48	34
49	24
50	28
51	25
52	25
53	21
54	22
55	15
56	17
57	24
58	20
59	12
60	15
61	6
62	20
63	13
64	10
65	16
66	20
67	11
68	10
69	16
70	14
71	19
72	14
73	16
74	6
75	19
76	12
77	11
78	8
79	6
80	7
81	7
82	8
83	8
84	5
85	9
86	9
87	10
88	5
89	6
90	3
91	6
92	9
93	5
94	6
95	10
96	3
97	4
98	14
99	5
100	6
101	4
102	4
103	6
104	5
105	10
106	2
107	5
108	6
109	4
110	4
111	5
112	7
113	3
114	1
115	2
116	4
117	1
118	5
119	7
120	4
121	2
122	6
123	1
124	6
125	1
126	6
127	2
128	6
129	4
130	6
131	3
132	2
133	2
134	1
135	1
136	2
137	3
139	5
140	2
141	4
142	9
143	2
144	1
145	2
146	6
148	3
149	2
151	2
153	4
154	1
155	2
156	2
159	1
161	1
162	2
164	2
165	2
166	3
167	1
168	1
169	1
170	3
173	3
175	2
176	6
177	2
178	1
180	2
181	1
182	2
183	2
184	1
186	1
187	1
190	2
191	4
193	1
194	2
195	2
196	2
198	1
199	1
201	1
202	1
204	2
205	1
207	1
208	1
214	5
215	3
216	1
218	2
220	3
223	2
224	2
225	1
226	1
230	1
232	3
233	1
235	1
236	1
238	1
240	1
245	1
246	1
249	1
250	1
251	1
253	2
256	1
258	1
259	2
260	1
261	2
262	2
263	1
264	2
267	1
268	1
270	1
273	1
274	1
275	1
276	1
277	1
282	2
283	3
285	1
288	1
289	2
292	1
293	2
295	1
296	1
297	2
299	2
300	1
302	1
303	1
304	1
305	1
307	1
322	1
323	1
330	1
331	1
337	1
345	3
347	2
348	1
349	1
351	1
357	1
359	1
365	1
367	1
369	1
371	1
384	1
386	1
402	1
409	1
413	1
416	1
418	1
421	1
434	1
437	1
438	1
444	1
448	1
465	2
474	1
488	1
501	1
502	1
507	1
508	1
533	1
537	1
538	1
557	1
568	2
599	1
605	1
634	1
648	1
659	1
682	1
694	1
706	1
712	1
715	1
755	1
758	1
772	1
785	1
810	1
852	1
868	1
870	1
893	1
923	1
924	1
927	1
929	1
939	1
940	1
955	1
990	1
1025	1
1036	1
1042	1
1131	1
1135	1
1344	1
1351	1
1375	1
1519	1
1570	1
1731	1
1738	1
2175	1
2688	1
2738	1
2826	1
2830	1
3078	1
4507	1
