Source;Target;Tweet
588273572457672704;588269826461798402;RT @toret: Venga colabora con @bcnencomu y #FaigPotComúPer ganar Barcelona y ponerla al servicio de la gente! https://t.co/xZRrtJhkK1
588273274477477888;588269826461798402;RT @toret: Venga colabora con @bcnencomu y #FaigPotComúPer ganar Barcelona y ponerla al servicio de la gente! https://t.co/xZRrtJhkK1
588279658493431809;588277315064442880;RT @toret: Colabora con @bcnencomu #FaigPotComúPer y convirtamos a @AdaColau en alcaldesa y hagamos historia el #24M https://t.co/xZRrtJhkK…
588280415024189440;588240856588648448;RT @albertofdezxbcn: ¡Buenos días! A las 13h recordad la cita con lo compañer@s de @elmaticope de @cope_es. ¡Os espero para hablar de #lame…
588280754049781760;588240856588648448;RT @albertofdezxbcn: ¡Buenos días! A las 13h recordad la cita con lo compañer@s de @elmaticope de @cope_es. ¡Os espero para hablar de #lame…
588290240546234368;588240856588648448;RT @albertofdezxbcn: ¡Buenos días! A las 13h recordad la cita con lo compañer@s de @elmaticope de @cope_es. ¡Os espero para hablar de #lame…
588290245910798336;588282584456650752;RT @albertofdezxbcn: Nunca mejor dicho, ayer debatiendo sobre cómo construir #lamejorBarcelona en @caminscat. ¡Muchas gracias, un placer! h…
588289981678018560;588282584456650752;RT @albertofdezxbcn: Nunca mejor dicho, ayer debatiendo sobre cómo construir #lamejorBarcelona en @caminscat. ¡Muchas gracias, un placer! h…
588291306390167553;588282584456650752;RT @albertofdezxbcn: Nunca mejor dicho, ayer debatiendo sobre cómo construir #lamejorBarcelona en @caminscat. ¡Muchas gracias, un placer! h…
588291301000552448;588240856588648448;RT @albertofdezxbcn: ¡Buenos días! A las 13h recordad la cita con lo compañer@s de @elmaticope de @cope_es. ¡Os espero para hablar de #lame…
588290772228820994;588240856588648448;RT @albertofdezxbcn: ¡Buenos días! A las 13h recordad la cita con lo compañer@s de @elmaticope de @cope_es. ¡Os espero para hablar de #lame…
588290777593335808;588282584456650752;RT @albertofdezxbcn: Nunca mejor dicho, ayer debatiendo sobre cómo construir #lamejorBarcelona en @caminscat. ¡Muchas gracias, un placer! h…
588300270574170112;588299844722253825;RT @AlfredBosch: Demà a l'Escola Industrial exposaré el nostre projecte per fer una BCN lliure, justa i transparent. Us hi espero! http://t…
588300398542323712;588300307492429824;RT @toret: Si te perdiste a @AdaColau de @bcnencomu y  a @manuelacarmena @AhoraMadrid en @carnecrudaradio lo tienes aquí http://t.co/IgGxMI…
588299731635408896;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588297875446231040;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588297978605080576;587624907166523392;RT @AlfredBosch: Ens hem donat la mà amb el socialisme sobiranista per governar aquesta ciutat. És l'hora de Barcelona! #AraBarcelona http:…
588298231827853312;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588298880585957376;588294957590511616;RT @AdaColau: #FaigPotComuPer tenir una candidatura independent dels bancs. Ajuda'ns a fer-ho possible! https://t.co/EP1fh1SNlF https://t.c…
588298989264572416;588282584456650752;RT @albertofdezxbcn: Nunca mejor dicho, ayer debatiendo sobre cómo construir #lamejorBarcelona en @caminscat. ¡Muchas gracias, un placer! h…
588299843371737089;588295651592634368;RT @albertofdezxbcn: Os dejo la entrevista con @Equinoxradio de esta semana ¡Todo un placer! https://t.co/CofL53QvRl
