Source;Target;Weight
@carnecrudaradio;@AdaColau;2037
@carnecrudaradio;@manuelacarmena;1471
@AdaColau;@manuelacarmena;2593
@bcnencomu;@AdaColau;9133
@Sirereta;@xaviertrias;166
@somcomuns;@bcnencomu;329
@s;@bcnencomu;74
@SantsMontenComu;@bcnencomu;125
@toret;@bcnencomu;453
@gaab75;@xaviertrias;116
@jrabassa;@bcnencomu;115
@xaviertrias;@ecommtech_bcn;111
@albertofdezxbcn;@AdaColau;97
@NousCatalans;@xaviertrias;439
@LaVanguardia;@xaviertrias;58
@toret;@AdaColau;414
@xaviertrias;@PAH_BCN;233
@albertofdezxbcn;@s;475
@albertofdezxbcn;@elmaticope;158
@albertofdezxbcn;@cope_es;108
@s;@elmaticope;68
@s;@cope_es;61
@elmaticope;@cope_es;115
@Catalunya_Press;@albertofdezxbcn;58
@Pablo_Iglesias_;@ahorapodemos;87
@Pablo_Iglesias_;@Podem_BCN;52
@ahorapodemos;@Podem_BCN;277
@pscbarcelona;@jaumecollboni;1617
@isaranjuez;@bcnencomu;158
@isaranjuez;@AdaColau;188
@carmenchusalas;@albertofdezxbcn;1114
@bcnencomu;@Jaumeasens;281
@G_Pisarello;@bcnencomu;1174
@Immamartin;@albertofdezxbcn;730
@albertofdezxbcn;@caminscat;272
@ARApolitica;@AdaColau;70
@BCN_Growth;@xaviertrias;102
@StAntoniEnComu;@bcnencomu;386
@adacolau;@bcnencomu;585
@NousCatalans;@angelcolom;97
@xaviertrias;@angelcolom;106
@xaviertrias;@ericbertran;58
@toret;@manuelacarmena;66
@AdaColau;@AhoraMadrid;384
@bcnencomu;@manuelacarmena;564
@bcnencomu;@AhoraMadrid;523
@bcnencomu;@carnecrudaradio;392
@manuelacarmena;@AhoraMadrid;280
@AhoraMadrid;@carnecrudaradio;117
@aitorcarr;@bcnencomu;74
@Podem_BCN;@CATnoalTTIP;189
@Podem_BCN;@_cafeambllet;80
@Podem_BCN;@podem_cat;253
@CATnoalTTIP;@_cafeambllet;74
@CATnoalTTIP;@podem_cat;82
@_cafeambllet;@podem_cat;80
@podem_cat;@ahorapodemos;75
@xaviertrias;@elperiodico;78
@albertofdezxbcn;@Equinoxradio;181
@Cs_BCNA;@CarinaMejias;1539
@Cs_BCNA;@CiutadansCs;189
@CarinaMejias;@CiutadansCs;334
@Ciddavid;@bcnencomu;301
@iniciativaBCN;@bcnencomu;241
@eduardcabus;@AdaColau;414
@rblasi;@xaviertrias;170
@Albert_Rivera;@CiudadanosCs;536
@Albert_Rivera;@Cs_BCNA;458
@CiudadanosCs;@Cs_BCNA;507
@ejimenezcara;@albertofdezxbcn;390
@albertofdezxbcn;@xaviertrias;773
@Laiaortiz;@bcnencomu;548
@7deRadio;@jaumecollboni;55
@Colonos_Cs;@CarinaMejias;665
@AdaColau;@Pablo_Iglesias_;479
@enoticiescat;@xriusenoticies;133
@MayoralRafa;@_cafeambllet;57
@AdaColau;@HiginiaRoig;112
@directe;@bcnencomu;256
@directe;@ahorapodemos;57
@bcnencomu;@ahorapodemos;690
@NuriagBcn;@albertofdezxbcn;500
@martaverdejo;@bcnencomu;215
@CarinaMejias;@leotaxil;646
@CarinaMejias;@QuinManso;391
@leotaxil;@QuinManso;379
@btvnoticies;@xaviertrias;92
@btvnoticies;@AdaColau;110
@xaviertrias;@AdaColau;481
@hugomabarca;@AdaColau;64
@SantsEnComu;@bcnencomu;73
@MIQUEL_01;@CarinaMejias;63
@jaumecollboni;@lbassets;54
@btvnoticies;@bcnencomu;100
@subirats9;@bcnencomu;108
@AlfredBosch;@ernestmaragall;192
@AlfredBosch;@Esquerra_ERC;877
@AlfredBosch;@MovEsquerres;232
@AlfredBosch;@BCNCiutatOberta;271
@MovEsquerres;@BCNCiutatOberta;265
@Esquerra_ERC;@junqueras;117
@Esquerra_ERC;@martarovira;74
@Esquerra_ERC;@JoanTarda;62
@junqueras;@martarovira;84
@junqueras;@AlfredBosch;257
@martarovira;@AlfredBosch;130
@JoanTarda;@AlfredBosch;102
@xaviertrias;@ConvergenciaCAT;66
@xaviertrias;@latinoscat;76
@guinardoencomu;@AdaColau;102
@guinardoencomu;@G_Pisarello;62
@guinardoencomu;@mvidal80;73
@guinardoencomu;@bcnencomu;183
@AdaColau;@G_Pisarello;935
@AdaColau;@mvidal80;387
@G_Pisarello;@mvidal80;251
@mvidal80;@bcnencomu;380
@arvaldivia;@jaumecollboni;56
@Albert_Rivera;@CarinaMejias;1126
@Albert_Rivera;@InesArrimadas;112
@Albert_Rivera;@jordi_canyas;55
@CarinaMejias;@InesArrimadas;158
@xaviertrias;@bcn_ajuntament;345
@jaumecollboni;@miqueliceta;80
@StAndreuEnComu;@bcnencomu;273
@StAndreuEnComu;@AdaColau;198
@ToniP44;@bcnencomu;103
@DavidGR1714;@AdaColau;263
@elSingular;@bcnencomu;90
@Mazelmind;@xaviertrias;51
@albertofdezxbcn;@AlbiolAlcalde_;126
@albertofdezxbcn;@manureyeslopez;71
@AlbiolAlcalde_;@manureyeslopez;73
@CatDiuProu;@herrerajoan;64
@CatDiuProu;@AdaColau;183
@herrerajoan;@AdaColau;586
@ricardgoma;@bcnencomu;199
@xaviertrias;@BCN_esports;80
@janetsanz;@xaviertrias;278
@xaviertrias;@xtomas;286
@ClotEnComu;@bcnencomu;86
@ERCbcn;@AlfredBosch;1902
@bcnencomu;@GanemosMadrid;56
@llopebre;@tonialba;162
@HiginiaRoig;@cupnacional;90
@HiginiaRoig;@Podem_BCN;54
@cupnacional;@ahorapodemos;64
@cupnacional;@Podem_BCN;70
@tonialba;@RaholaOficial;71
@GiseLopez20;@albertofdezxbcn;132
@PConstClot;@bcnencomu;135
@CUPHortaGuinard;@CapgiremBCN;122
@AlfredBosch;@jpuigcorbe;498
@luisfergegea;@jaumecollboni;94
@jaumecollboni;@socialistes_cat;286
@iolacc;@jaumecollboni;69
@pscbarcelona;@xaviertrias;78
@jaumecollboni;@xaviertrias;254
@bcnencomu;@TerrassaEnComu;109
@Podem_BCN;@MayoralRafa;51
@albertofdezxbcn;@europapress;62
@carmenandres_;@jaumecollboni;689
@janetsanz;@bcnencomu;259
@cupsants;@CapgiremBCN;189
@eldiarioes;@carnecrudaradio;181
@eldiarioes;@manuelacarmena;193
@eldiarioes;@AdaColau;260
@CiudadanosCs;@CarinaMejias;2798
@LaVanguardia;@albertofdezxbcn;109
@AdaColau;@AbrilAscaso;77
@AbrilAscaso;@bcnencomu;91
@herrerajoan;@Laksmiz;125
@AdaColau;@tonialba;244
@AdaColau;@Laksmiz;424
@tonialba;@Laksmiz;78
@BCN_GUB;@xaviertrias;131
@bcnencomu;@xaviertrias;258
@mareatlantica;@bcnencomu;72
@vplana_catradio;@pscbarcelona;77
@vplana_catradio;@jaumecollboni;85
@xaviertrias;@ciu;358
@enricfv;@jaumecollboni;55
@PPBarcelona_;@parlament_cat;76
@PPBarcelona_;@PPCatalunya;389
@parlament_cat;@PPCatalunya;74
@PPBarcelona_;@dololopez_;59
@PPBarcelona_;@PP_LLEIDA;74
@PPBarcelona_;@ejimenezcara;57
@ejimenezcara;@PPCatalunya;96
@SandraBoix;@albertofdezxbcn;786
@mmillanclosa;@AdaColau;131
@enoticiescat;@xaviertrias;66
@xriusenoticies;@xaviertrias;86
@ahorapodemos;@AdaColau;482
@ahorapodemos;@iniciativa;94
@AdaColau;@iniciativa;113
@PPBarcelona_;@albertofdezxbcn;573
@Immamartin;@Albertofdezxbcn;58
@PP_Sarria;@albertofdezxbcn;99
@CarinaMejias;@CarolinaPunset;217
@CarinaMejias;@FranHervias;84
@jordievole;@salvadostv;97
@ErikaTorregrosa;@jaumecollboni;57
@Granollacs;@bcnencomu;170
@Granollacs;@AMI__cat;176
@bcnencomu;@AMI__cat;203
@MTudela;@AdaColau;55
@AMI__cat;@AdaColau;57
@jordievole;@AdaColau;441
@salvadostv;@AdaColau;189
@AdaColau;@ierrejon;133
@AdaColau;@s;183
@ERCbcn;@jpuigcorbe;293
@aramateix;@CapgiremBCN;73
@ERC_gracia;@AlfredBosch;68
@bcnencomu;@GraciaEnComu;185
@xaviertrias;@MillorBCN;59
@eduardcabus;@adaColau;107
@TMB_Barcelona;@xaviertrias;54
@AdaColau;@icveuia;290
@AdaColau;@dolorscamats;153
@AdaColau;@TeresaForcadesF;182
@dolorscamats;@herrerajoan;161
@PAH_BCN;@AdaColau;85
@GuanyemBDN;@bcnencomu;147
@StAndreuEnComu;@mvidal80;117
@StAndreuEnComu;@G_Pisarello;76
@bcnencomu;@mlg_barcelona;94
@ToniP44;@Podem_BCN;131
@CUPBarcelona;@CapgiremBCN;173
@bcnencomu;@acolom_;133
@ABalagu;@Cs_BCNA;63
@sanchezcastejon;@jaumecollboni;654
@simongorjeos;@CapgiremBCN;174
@StAntoniEnComu;@AdaColau;56
@pconstituentBCN;@AdaColau;143
@500x20;@xaviertrias;64
@AlfredBosch;@toni_comin;57
@icveuia;@PConstituent;58
@carmenandres_;@xaviertrias;78
@pscbarcelona;@carmenandres_;413
