Source;Target;Weight
@carnecrudaradio;@adacolau;2054
@carnecrudaradio;@manuelacarmena;1791
@adacolau;@manuelacarmena;3071
@participasvq;@bcnencomu;12
@bcnencomu;@adacolau;9822
@sirereta;@xaviertrias;189
@jserracarne;@adacolau;49
@somcomuns;@s;17
@somcomuns;@bcnencomu;333
@s;@bcnencomu;92
@santsmontencomu;@bcnencomu;125
@toret;@bcnencomu;453
@evgaro;@xaviertrias;11
@gaab75;@xaviertrias;116
@jrabassa;@bcnencomu;115
@xaviertrias;@ecommtech_bcn;111
@albertofdezxbcn;@adacolau;97
@lramisa;@xaviertrias;25
@nouscatalans;@xaviertrias;444
@lavanguardia;@xaviertrias;58
@ecommtech_bcn;@ofertia;12
@xaviertrias;@ofertia;10
@antalcantara;@xaviertrias;35
@toret;@adacolau;433
@antalcantara;@pah_bcn;13
@xaviertrias;@pah_bcn;270
@albertofdezxbcn;@s;475
@albertofdezxbcn;@elmaticope;158
@albertofdezxbcn;@cope_es;108
@s;@elmaticope;68
@s;@cope_es;61
@elmaticope;@cope_es;115
@catalunya_press;@albertofdezxbcn;58
@beni1965;@xaviertrias;10
@pablo_iglesias_;@ahorapodemos;87
@pablo_iglesias_;@podem_bcn;52
@ahorapodemos;@podem_bcn;318
@manusimarro;@bcnencomu;41
@pscbarcelona;@jaumecollboni;1664
@isaranjuez;@bcnencomu;158
@isaranjuez;@adacolau;300
@carmenchusalas;@albertofdezxbcn;1116
@bcnencomu;@jaumeasens;282
@g_pisarello;@bcnencomu;1175
@podem_bcn;@cocacolaenlucha;18
@immamartin;@albertofdezxbcn;788
@albertofdezxbcn;@caminscat;272
@arapolitica;@adacolau;70
@nataliarosetti;@bcnencomu;16
@bcn_growth;@ecommtech_bcn;15
@bcn_growth;@xaviertrias;104
@stantoniencomu;@adacolau;69
@stantoniencomu;@bcnencomu;386
@nouscatalans;@angelcolom;97
@nouscatalans;@ericbertran;49
@xaviertrias;@angelcolom;106
@xaviertrias;@ericbertran;58
@angelcolom;@ericbertran;24
@elsmatins;@ivallets;29
@toret;@manuelacarmena;66
@toret;@ahoramadrid;47
@toret;@carnecrudaradio;12
@adacolau;@ahoramadrid;460
@bcnencomu;@manuelacarmena;564
@bcnencomu;@ahoramadrid;526
@bcnencomu;@carnecrudaradio;392
@manuelacarmena;@ahoramadrid;281
@ahoramadrid;@carnecrudaradio;117
@aitorcarr;@bcnencomu;74
@podem_bcn;@catnoalttip;189
@podem_bcn;@_cafeambllet;80
@podem_bcn;@podem_cat;254
@catnoalttip;@_cafeambllet;74
@catnoalttip;@podem_cat;82
@catnoalttip;@ahorapodemos;48
@_cafeambllet;@podem_cat;80
@_cafeambllet;@ahorapodemos;49
@podem_cat;@ahorapodemos;75
@xaviertrias;@elperiodico;78
@carinamejias;@dionis7vetes;10
@albertofdezxbcn;@equinoxradio;190
@cs_bcna;@carinamejias;1544
@cs_bcna;@ciutadanscs;189
@carinamejias;@ciutadanscs;334
@ciddavid;@bcnencomu;301
@iniciativabcn;@bcnencomu;241
@bcnencomu;@cocacolaenlucha;46
@eduardcabus;@adacolau;521
@fmaquinista;@rblasi;13
@fmaquinista;@xaviertrias;13
@rblasi;@xaviertrias;170
@xaviertrias;@s;203
@bcnencomu;@aleixaguilera;16
@bcnencomu;@paugv87;32
@aleixaguilera;@paugv87;19
@albertofdezxbcn;@albertofdezxbcn;46
@albert_rivera;@ciudadanoscs;537
@albert_rivera;@cs_bcna;458
@ciudadanoscs;@cs_bcna;507
@ejimenezcara;@albertofdezxbcn;390
@albertofdezxbcn;@xaviertrias;783
@laiaortiz;@bcnencomu;557
@7deradio;@jaumecollboni;59
@fbertelsmann;@fundaciobcnfp;21
@fbertelsmann;@xaviertrias;21
@fundaciobcnfp;@xaviertrias;16
@ahoraguada;@adacolau;11
@colonos_cs;@carinamejias;667
@ppcatalunya;@juanmilian;18
@marfil1961;@adacolau;37
@quicoventallo;@adacolau;45
@quicoventallo;@pablo_iglesias_;42
@adacolau;@pablo_iglesias_;492
@enoticiescat;@xriusenoticies;133
@catalunyaopina;@carinamejias;15
@telebdn;@carinamejias;24
@mayoralrafa;@_cafeambllet;57
@mayoralrafa;@nu_alabao;16
@_cafeambllet;@nu_alabao;16
@adacolau;@higiniaroig;128
@cupciutatvella;@capgirembcn;16
@directe;@bcnencomu;259
@directe;@ahorapodemos;57
@bcnencomu;@ahorapodemos;694
@directe;@pablo_iglesias_;33
@nuriagbcn;@albertofdezxbcn;503
@pscbarcelona;@ballarinmontsek;17
@pscbarcelona;@sjaurrieta;21
@jaumecollboni;@ballarinmontsek;44
@jaumecollboni;@sjaurrieta;57
@ballarinmontsek;@sjaurrieta;13
@gelocatilopil;@rmrezrmon;19
@rmrezrmon;@carinamejias;24
@carinamejias;@xavipardas;25
@martaverdejo;@adacolau;11
@martaverdejo;@bcnencomu;215
@joaquimjuky;@arranbarcelona;13
@joaquimjuky;@endavant_bcn;13
@joaquimjuky;@cos_bcn;13
